"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.408311319E0,8.248136640E-1,7.729215622E-1,-8.762960434E-1
1.413342205E0,8.197994232E-1,6.259653568E-1,-1.058815956E0
1.418373090E0,7.418493629E-1,4.762375355E-1,-1.254591942E0
1.423403976E0,6.095510721E-1,3.104343414E-1,-1.387655258E0
1.428434861E0,4.507209361E-1,2.012200356E-1,-1.415719509E0
1.433465747E0,3.263417184E-1,1.822750568E-1,-1.334657669E0
1.438496632E0,2.067977488E-1,2.297956944E-1,-1.159377098E0
1.443527517E0,8.142203093E-2,3.099594116E-1,-9.379711151E-1
1.448558403E0,4.954740405E-2,4.174044132E-1,-6.896190643E-1
1.453589288E0,1.238842905E-1,5.657982826E-1,-3.904809952E-1
1.458620174E0,3.071581423E-1,7.214138508E-1,-6.941890717E-2
1.463651059E0,5.456765294E-1,7.838952541E-1,1.828050613E-1
1.468681944E0,7.202609777E-1,8.200483322E-1,3.617630005E-1
1.473712830E0,7.886602879E-1,7.963821888E-1,4.630117416E-1
1.478743715E0,7.233363390E-1,7.890098095E-1,6.253843307E-1
1.483774601E0,5.628582239E-1,7.783257961E-1,8.726720810E-1
1.488805486E0,3.121244609E-1,7.589530945E-1,1.166596413E0
1.493836372E0,-2.348160744E-2,7.494735718E-1,1.421290398E0
1.498867257E0,-4.051263928E-1,7.968437672E-1,1.713500977E0
1.503898142E0,-7.465347648E-1,8.526654243E-1,1.952604294E0
1.508929028E0,-1.038626909E0,8.730723858E-1,2.077004433E0
1.513959913E0,-1.200971127E0,8.387119770E-1,2.039453506E0
1.518990799E0,-1.158758879E0,7.876660824E-1,1.974138260E0
1.524021684E0,-9.855838418E-1,7.056233883E-1,1.852446556E0
1.529052569E0,-6.783706546E-1,6.217017174E-1,1.631408691E0
1.534083455E0,-3.766450286E-1,5.510172844E-1,1.354008675E0
1.539114340E0,-1.281573772E-1,5.325610638E-1,1.134707451E0
1.544145226E0,1.722952127E-1,5.671789646E-1,1.006406784E0
1.549176111E0,5.004299283E-1,5.982010365E-1,1.040151596E0
1.554206997E0,7.553669810E-1,5.213923454E-1,1.034699440E0
1.559237882E0,7.984226942E-1,3.616681099E-1,9.135875702E-1
1.564268767E0,6.546175480E-1,1.725764275E-1,7.629165649E-1
1.569299653E0,4.681746364E-1,7.878208160E-2,8.070278168E-1
1.574330538E0,2.541075945E-1,2.786564827E-2,1.026161194E0
1.579361424E0,-5.353295803E-2,-4.729938507E-2,1.305357933E0
1.584392309E0,-4.203197062E-1,-1.756479740E-1,1.549173355E0
1.589423194E0,-7.402852178E-1,-2.814512253E-1,1.858304024E0
1.594454080E0,-9.078941345E-1,-3.271408081E-1,2.270971298E0
1.599484965E0,-9.031375051E-1,-3.570067883E-1,2.663172722E0
1.604515851E0,-8.012037277E-1,-4.101834297E-1,2.825263023E0
1.609546736E0,-7.100574970E-1,-5.018742085E-1,2.848947525E0
1.614577622E0,-5.893036127E-1,-6.096160412E-1,2.844862938E0
1.619608455E0,-4.613296688E-1,-7.584569454E-1,2.741778374E0
1.624639288E0,-3.966271877E-1,-9.348840714E-1,2.602237701E0
1.629670122E0,-4.042914212E-1,-1.091658354E0,2.455081940E0
1.634700955E0,-4.701028168E-1,-1.238917589E0,2.228834152E0
1.639731788E0,-5.852764249E-1,-1.333743334E0,1.933268547E0
1.644762622E0,-7.134715915E-1,-1.347308159E0,1.635341644E0
1.649793455E0,-8.950089216E-1,-1.269905329E0,1.296779633E0
1.654824288E0,-1.103593588E0,-1.163252950E0,8.650445938E-1
1.659855122E0,-1.346799254E0,-1.021891117E0,3.879556656E-1
1.664885955E0,-1.517429113E0,-8.879086971E-1,-7.734870911E-2
1.669916788E0,-1.642289400E0,-7.360796928E-1,-4.406070709E-1
1.674947622E0,-1.675050378E0,-5.793991089E-1,-6.452732086E-1
1.679978455E0,-1.658939242E0,-4.840507507E-1,-7.540807724E-1
1.685009288E0,-1.593293190E0,-4.162240028E-1,-8.723859787E-1
1.690040122E0,-1.419355392E0,-3.613557816E-1,-9.381198883E-1
1.695070955E0,-1.097154856E0,-3.100085258E-1,-9.609193802E-1
1.700101788E0,-7.247532606E-1,-2.957000732E-1,-1.026829720E0
1.705132622E0,-3.756843209E-1,-3.327126503E-1,-1.111895561E0
1.710163455E0,-2.093447298E-1,-4.162433147E-1,-1.244777679E0
1.715194288E0,-1.655457616E-1,-5.415968895E-1,-1.449268818E0
1.720225122E0,-1.609362215E-1,-6.751866341E-1,-1.710988045E0
1.725255955E0,-2.179859281E-1,-8.929891586E-1,-2.006145477E0
1.730286788E0,-4.078243375E-1,-1.098817825E0,-2.315760136E0
1.735317622E0,-6.683801413E-1,-1.277976990E0,-2.616059303E0
1.740348455E0,-1.024709582E0,-1.373183012E0,-2.868828773E0
1.745379288E0,-1.397268653E0,-1.403768063E0,-3.021585941E0
1.750410122E0,-1.768834472E0,-1.436765194E0,-3.122258663E0
1.755440955E0,-2.041637659E0,-1.477002740E0,-3.132672787E0
1.760471788E0,-2.204398394E0,-1.510253787E0,-3.081614971E0
1.765502622E0,-2.193545818E0,-1.536808610E0,-2.935702324E0
1.770533455E0,-2.117700577E0,-1.466377616E0,-2.738030434E0
1.775564340E0,-1.941293478E0,-1.347187042E0,-2.569872856E0
1.780595226E0,-1.713584781E0,-1.174643278E0,-2.421613216E0
1.785626111E0,-1.472994328E0,-9.686245918E-1,-2.240465641E0
1.790656997E0,-1.261571169E0,-7.870979309E-1,-2.097934246E0
1.795687882E0,-1.149459600E0,-6.544392109E-1,-1.998455524E0
1.800718767E0,-1.124929190E0,-6.187312603E-1,-1.932164192E0
1.805749653E0,-1.090268731E0,-6.321783066E-1,-1.846344948E0
1.810780538E0,-1.053321123E0,-7.046711445E-1,-1.755207062E0
1.815811424E0,-1.031708479E0,-8.508012295E-1,-1.706379890E0
1.820842309E0,-1.029093981E0,-1.003648996E0,-1.752244949E0
1.825873194E0,-9.967402220E-1,-1.105680943E0,-1.816246033E0
1.830904080E0,-8.672584295E-1,-1.085047007E0,-1.802989960E0
1.835934965E0,-6.695098877E-1,-9.322714806E-1,-1.679368973E0
1.840965851E0,-3.519623876E-1,-6.810901165E-1,-1.469553947E0
1.845996736E0,3.254264593E-3,-3.603799343E-1,-1.278817654E0
1.851027622E0,3.100752532E-1,-7.516717911E-2,-1.121502876E0
1.856058507E0,5.690434575E-1,1.416127682E-1,-1.026322365E0
1.861089392E0,7.756851912E-1,2.952518463E-1,-9.836826324E-1
1.866120278E0,9.159865975E-1,3.815786839E-1,-9.458580017E-1
1.871151163E0,9.759855270E-1,4.726991653E-1,-9.368371964E-1
1.876182049E0,9.606698751E-1,5.447900295E-1,-8.753948212E-1
1.881212934E0,8.751817942E-1,6.312267780E-1,-7.664337158E-1
1.886243819E0,7.721703649E-1,7.077558041E-1,-5.765333176E-1
1.891274705E0,6.943113804E-1,7.691082954E-1,-2.770481110E-1
1.896305590E0,6.554446220E-1,8.004870415E-1,1.128520966E-1
1.901336476E0,5.406466722E-1,7.629542351E-1,4.308805466E-1
1.906367361E0,3.739814758E-1,7.326493263E-1,6.965150833E-1
1.911398247E0,2.751556635E-1,8.042793274E-1,9.388484955E-1
1.916429132E0,2.633176446E-1,9.152083397E-1,1.129402161E0
